Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RWDD1,2044.200474,1.380384253,0.139045383,9.927580612,3.16E-23,7.95E-19
RN7SKP185,279.2393534,4.377487172,0.464028826,9.433653527,3.96E-21,4.98E-17
YDJC,31.82126503,-3.364170022,0.374461665,-8.984017156,2.61E-19,1.98E-15
XCR1,25.33094016,-6.545531399,0.730697817,-8.957918372,3.31E-19,1.98E-15
LINC00996,30.50554105,-4.824554522,0.539738588,-8.938687408,3.94E-19,1.98E-15
IGHG4,568.1494956,-4.90056058,0.561212099,-8.732100729,2.50E-18,1.05E-14
ARPP19,7704.203114,1.7704586,0.206945498,8.555192621,1.18E-17,4.23E-14
DEFA6,138.3652448,-25.0931102,2.968429025,-8.453330022,2.83E-17,8.91E-14
MIR4446,15.95266743,-6.482857639,0.770694137,-8.411712676,4.04E-17,1.13E-13
REX1BD,77.48827107,-2.244794257,0.270393398,-8.301956609,1.02E-16,2.58E-13
CD1E,16.56079998,-6.854796522,0.834056898,-8.218619787,2.06E-16,4.71E-13
REG3A,82.36960398,-24.36538247,2.968502838,-8.207970076,2.25E-16,4.72E-13
IGHEP2,22.13483196,-5.700121163,0.699715448,-8.146341749,3.75E-16,7.26E-13
B3GALT5-AS1,189.94809,-7.122510634,0.883033805,-8.065954663,7.27E-16,1.23E-12
ABCA1,6734.871935,1.846458931,0.228948847,8.06494096,7.33E-16,1.23E-12
RAB11FIP2,1789.26674,1.288247053,0.163172974,7.894978085,2.90E-15,4.54E-12
CREB3L3,61.67822014,-5.565631568,0.705558868,-7.888259679,3.06E-15,4.54E-12
VMA21,974.0031071,1.607499215,0.205868683,7.808371796,5.79E-15,8.10E-12
B3GALT5,2536.504902,-4.58217625,0.588798176,-7.782252795,7.12E-15,9.44E-12
RBPJ,4604.489776,1.375067179,0.177771113,7.735042877,1.03E-14,1.30E-11
ANAPC16,2685.522145,1.01204331,0.131109987,7.719040589,1.17E-14,1.40E-11
EPS8L1,31.5976199,-4.643778487,0.603269538,-7.697684355,1.39E-14,1.58E-11
RAB8B,1713.562582,1.460181085,0.192105405,7.600937006,2.94E-14,3.22E-11
CCDC17,28.84308145,-4.019156492,0.530000825,-7.583302329,3.37E-14,3.53E-11
