Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RTKN2,7930.647365,-4.306773681,0.36549362,-11.7834442,4.75E-32,1.15E-27
RPS3,1952.229807,1.417954408,0.134809778,10.51818663,7.12E-26,7.26E-22
NCKAP5-AS2,172.1723473,-4.142464894,0.394663928,-10.49618321,8.99E-26,7.26E-22
KRT6A,927.6164618,12.78185078,1.233053843,10.36601188,3.54E-25,2.14E-21
OR5P1P,103.709734,-5.509997189,0.539654019,-10.21024026,1.78E-24,8.64E-21
SLCO1A2,311.4582112,-8.253125397,0.810768902,-10.17938081,2.45E-24,9.89E-21
NACA,6612.336356,1.033565806,0.108502179,9.525760819,1.64E-21,4.96E-18
LAMA3,2899.834593,-2.28858261,0.241264465,-9.485784015,2.41E-21,6.47E-18
UPK3B,50.70434423,-7.841337027,0.83513889,-9.389261025,6.04E-21,1.46E-17
CNTN6,103.4564262,-4.618807999,0.494596963,-9.338528836,9.77E-21,2.15E-17
TTLL7,2306.375061,-1.352611713,0.146762238,-9.216347032,3.07E-20,5.72E-17
ADAM29,34.45559272,-5.586299414,0.611258037,-9.139019988,6.30E-20,1.09E-16
S100A8,2188.650206,4.172066182,0.471881632,8.841340489,9.46E-19,1.53E-15
EFCC1,95.2425542,-3.975194557,0.450160604,-8.830614065,1.04E-18,1.57E-15
COL3A1,60103.77381,4.183241503,0.478869795,8.735655389,2.42E-18,3.45E-15
AGBL1,303.1243546,-6.090827746,0.702988549,-8.664191981,4.55E-18,6.11E-15
LINC01996,27.40379705,-6.412211365,0.74652101,-8.589458675,8.74E-18,1.11E-14
TIMP1,9947.765534,4.290591755,0.500180853,8.57808076,9.65E-18,1.17E-14
PCDH15,483.2205284,-3.848721109,0.452322983,-8.508789633,1.76E-17,2.03E-14
DNAJC25,376.0419971,1.270562495,0.149628665,8.491437745,2.04E-17,2.25E-14
RNVU1-7,48.98812497,8.536695576,1.006151037,8.484507062,2.17E-17,2.28E-14
CYP1B1,3732.925463,2.997841015,0.355244283,8.438815639,3.21E-17,3.23E-14
OR5P4P,28.84973434,-5.631303923,0.672073891,-8.378995221,5.34E-17,4.97E-14
GPM6A,828.2396177,-3.051353363,0.364919627,-8.361713485,6.18E-17,5.54E-14
MACF1,51186.10954,-1.512456588,0.181536731,-8.331408064,7.99E-17,6.80E-14
PRDM11,509.352809,-2.377090149,0.285472029,-8.326875862,8.30E-17,6.80E-14
DAPK2,363.4759111,-2.092787668,0.251383373,-8.325083896,8.43E-17,6.80E-14
COL1A1,27626.7876,4.301999703,0.517538531,8.312423989,9.38E-17,7.32E-14
SERPINE2,1546.705,5.073824496,0.61629151,8.232832056,1.83E-16,1.37E-13
LHFPL3,40.51985426,-6.789659838,0.824986111,-8.230029272,1.87E-16,1.37E-13
TWF1,1333.671421,1.620177673,0.197010312,8.223821665,1.97E-16,1.40E-13
GOLGA7B,45.00555397,-5.209477995,0.636560027,-8.183796932,2.75E-16,1.90E-13
TACR3,47.23049688,-6.102964375,0.748732416,-8.151062038,3.61E-16,2.43E-13
TMEM179,29.52020632,-7.373361806,0.910018101,-8.102434225,5.39E-16,3.52E-13
SNHG3,1124.043359,2.450708366,0.303265801,8.081057463,6.42E-16,3.98E-13
PI15,9742.567605,5.939429913,0.73759963,8.052376476,8.12E-16,4.79E-13
NCKAP5,1622.26451,-3.871057823,0.482284546,-8.026501903,1.00E-15,5.78E-13
MS4A15,100.6364107,-3.441476115,0.429218236,-8.018010013,1.07E-15,6.05E-13
SERPINB4,31.23523306,8.467952037,1.057275184,8.009222351,1.15E-15,6.27E-13
SPP1,1842.844773,5.639718966,0.709183765,7.952408454,1.83E-15,9.62E-13
C2orf91,68.30289773,-5.728607371,0.722846064,-7.92507237,2.28E-15,1.17E-12
PDZD2,2101.101644,-2.243472365,0.284138727,-7.895693719,2.89E-15,1.46E-12
TMEM130,188.8049582,-4.757503176,0.60396371,-7.877134168,3.35E-15,1.65E-12
BASP1,1008.836886,2.076647008,0.263946822,7.867671942,3.61E-15,1.75E-12
ADRA1A,259.9696613,-2.96029712,0.376754103,-7.857371938,3.92E-15,1.84E-12
ADAM12,1315.980082,2.767617533,0.352289123,7.856097021,3.96E-15,1.84E-12
